,Date,SAR,AF
350,17-Jan-13,15.5,0.02
351,18-Jan-13,15.476,0.02
352,19-Jan-13,,
353,20-Jan-13,,
354,21-Jan-13,,
355,22-Jan-13,17.3,0.02
356,23-Jan-13,17.3,0.04
357,24-Jan-13,17.308,0.04
358,25-Jan-13,,
359,26-Jan-13,,
360,27-Jan-13,,
361,28-Jan-13,,
362,29-Jan-13,,
363,30-Jan-13,19.7,0.02
364,31-Jan-13,19.7,0.04
365,1-Feb-13,19.727999999999998,0.06
366,2-Feb-13,19.77432,0.06
367,3-Feb-13,,
368,4-Feb-13,,
369,5-Feb-13,,
370,6-Feb-13,21.2,0.02
371,7-Feb-13,21.183999999999997,0.02
372,8-Feb-13,21.168319999999998,0.02
373,9-Feb-13,21.152953599999996,0.02
374,10-Feb-13,21.137894527999997,0.02
375,11-Feb-13,21.12313663744,0.02
376,12-Feb-13,21.108673904691198,0.02
377,13-Feb-13,,
378,14-Feb-13,,
379,15-Feb-13,,
380,16-Feb-13,,
381,17-Feb-13,,
382,18-Feb-13,,
383,19-Feb-13,29.4,0.02
384,20-Feb-13,29.348,0.02
385,21-Feb-13,29.29704,0.02
386,22-Feb-13,29.247099199999997,0.02
387,23-Feb-13,,
388,24-Feb-13,,
389,25-Feb-13,,
390,26-Feb-13,31.1,0.02
391,27-Feb-13,31.1,0.02
392,28-Feb-13,,
393,1-Mar-13,,
394,2-Mar-13,,
395,3-Mar-13,,
396,4-Mar-13,,
397,5-Mar-13,40.3,0.02
398,6-Mar-13,40.3,0.04
399,7-Mar-13,40.327999999999996,0.06
400,8-Mar-13,40.42832,0.08
401,9-Mar-13,40.7300544,0.1
402,10-Mar-13,41.33704896,0.1
403,11-Mar-13,,
404,12-Mar-13,,
405,13-Mar-13,,
406,14-Mar-13,47.2,0.02
407,15-Mar-13,,
408,16-Mar-13,,
409,17-Mar-13,,
410,18-Mar-13,51.6,0.02
411,19-Mar-13,51.6,0.04
412,20-Mar-13,51.9,0.06
413,21-Mar-13,52.656,0.08
414,22-Mar-13,54.10752,0.08
415,23-Mar-13,,
416,24-Mar-13,,
417,25-Mar-13,,
418,26-Mar-13,,
419,27-Mar-13,,
420,28-Mar-13,86.2,0.02
421,29-Mar-13,,
422,30-Mar-13,,
423,31-Mar-13,,
424,1-Apr-13,104.0,0.02
425,2-Apr-13,103.73,0.02
426,3-Apr-13,103.4654,0.02
427,4-Apr-13,,
428,5-Apr-13,,
429,6-Apr-13,,
430,7-Apr-13,162.3,0.02
431,8-Apr-13,162.3,0.04
432,9-Apr-13,163.30800000000002,0.06
433,10-Apr-13,167.30952000000002,0.06
434,11-Apr-13,,
435,12-Apr-13,,
436,13-Apr-13,,
437,14-Apr-13,90.0,0.02
438,15-Apr-13,90.0,0.04
439,16-Apr-13,89.696,0.06
440,17-Apr-13,88.41824,0.06
441,18-Apr-13,87.2171456,0.06
442,19-Apr-13,86.088116864,0.06
443,20-Apr-13,85.02682985216,0.06
444,21-Apr-13,,
445,22-Apr-13,,
446,23-Apr-13,,
447,24-Apr-13,154.2,0.02
448,25-Apr-13,154.2,0.02
449,26-Apr-13,,
450,27-Apr-13,,
451,28-Apr-13,,
452,29-Apr-13,144.0,0.02
453,30-Apr-13,,
454,1-May-13,,
455,2-May-13,,
456,3-May-13,98.1,0.02
457,4-May-13,98.922,0.02
458,5-May-13,99.72756,0.02
459,6-May-13,,
460,7-May-13,,
461,8-May-13,,
462,9-May-13,,
463,10-May-13,,
464,11-May-13,,
465,12-May-13,,
466,13-May-13,,
467,14-May-13,,
468,15-May-13,,
469,16-May-13,,
470,17-May-13,123.5,0.02
471,18-May-13,123.5,0.02
472,19-May-13,,
473,20-May-13,,
474,21-May-13,,
475,22-May-13,123.8,0.02
476,23-May-13,123.764,0.02
